,Total Rows,Missing Count,Missing Percentage
home_batting_isolatedpower,3034,47,1.5491100856954514
home_batting_pitchesperplateappearance,3034,47,1.5491100856954514
home_batting_stolenbasepct,3034,47,1.5491100856954514
home_batting_atbatsperhomerun,3034,47,1.5491100856954514
home_batting_batterrating,3034,47,1.5491100856954514
home_batting_runscreatedper27outs,3034,47,1.5491100856954514
home_batting_groundtoflyratio,3034,47,1.5491100856954514
home_pitching_sacbunts,3034,47,1.5491100856954514
home_pitching_caughtstealing,3034,47,1.5491100856954514
home_pitching_stolenbases,3034,47,1.5491100856954514
home_pitching_runs,3034,47,1.5491100856954514
home_pitching_walks,3034,47,1.5491100856954514
home_pitching_battershit,3034,47,1.5491100856954514
home_pitching_earnedruns,3034,47,1.5491100856954514
home_pitching_hits,3034,47,1.5491100856954514
home_pitching_losses,3034,47,1.5491100856954514
home_pitching_sacflies,3034,47,1.5491100856954514
home_pitching_strikeouts,3034,47,1.5491100856954514
home_pitching_groundballs,3034,47,1.5491100856954514
home_pitching_saves,3034,47,1.5491100856954514
home_pitching_teamgamesplayed,3034,47,1.5491100856954514
home_pitching_gamesplayed,3034,47,1.5491100856954514
home_batting_warbr,3034,47,1.5491100856954514
home_pitching_thirdinnings,3034,47,1.5491100856954514
home_pitching_rbis,3034,47,1.5491100856954514
home_pitching_wildpitches,3034,47,1.5491100856954514
home_pitching_perfectgames,3034,47,1.5491100856954514
home_pitching_completegames,3034,47,1.5491100856954514
home_pitching_wins,3034,47,1.5491100856954514
home_pitching_doubles,3034,47,1.5491100856954514
home_pitching_holds,3034,47,1.5491100856954514
home_pitching_battersfaced,3034,47,1.5491100856954514
home_pitching_flyballs,3034,47,1.5491100856954514
home_pitching_intentionalwalks,3034,47,1.5491100856954514
home_pitching_balks,3034,47,1.5491100856954514
home_pitching_finishes,3034,47,1.5491100856954514
home_pitching_triples,3034,47,1.5491100856954514
home_pitching_homeruns,3034,47,1.5491100856954514
home_pitching_saveopportunities,3034,47,1.5491100856954514
home_pitching_isqualified,3034,47,1.5491100856954514
home_pitching_opponenttotalbases,3034,47,1.5491100856954514
home_pitching_atbats,3034,47,1.5491100856954514
