gamePk,away_runs,away_hits,away_errors,away_lob,home_runs,home_hits,home_errors,home_lob
634307,3,3,0,2,0,1,0,1
634276,4,4,0,1,0,1,0,1
634284,4,3,0,0,0,0,0,0
634271,0,1,0,1,0,2,0,1
634338,1,1,0,0,0,0,0,0
634312,0,0,0,0,0,2,1,2
634286,1,1,0,2,0,0,0,0
634316,0,0,0,0,3,2,0,0
634272,3,3,0,1,0,0,0,0
634260,0,0,0,1,0,0,0,1
634259,0,0,0,0,0,1,0,1
634311,0,0,0,0,0,1,0,1
634256,0,0,1,0,0,0,0,1
634298,1,2,0,1,2,2,0,0
634323,0,0,0,1,0,0,0,0
634341,0,1,0,1,0,0,0,0
634302,0,1,0,1,0,1,0,1
634282,5,3,0,1,0,1,0,0
634268,0,0,0,0,0,1,0,2
634306,0,0,2,0,2,3,0,2
634299,0,1,1,2,0,1,0,1
634340,0,0,0,2,0,0,0,0
634301,0,0,0,0,1,1,0,0
634257,0,1,0,1,1,2,0,1
634244,1,2,0,2,2,3,0,0
634285,0,0,0,0,0,0,0,0
634292,0,0,0,0,1,1,0,0
634258,0,0,0,2,0,1,0,1
634334,0,0,0,0,0,1,0,1
634293,0,0,0,0,0,1,0,0
634243,0,0,0,0,0,0,0,0
634242,0,0,0,0,0,1,0,2
634264,0,0,0,0,4,4,1,2
634254,2,3,0,1,0,1,0,1
634264,0,0,0,0,4,4,1,2
634321,0,1,0,1,0,0,0,2
634246,10,8,1,0,0,0,0,2
634254,2,3,0,1,0,1,0,1
634251,0,0,0,0,0,0,0,0
634245,0,1,0,1,3,2,0,0
634297,0,1,0,0,0,1,0,0
634269,1,1,0,0,3,3,0,1
634324,1,2,0,3,1,1,0,0
634241,0,0,1,1,4,4,0,2
634229,1,1,0,2,2,1,0,1
634277,0,0,0,0,0,0,0,1
634267,1,1,0,1,0,1,2,2
634278,0,0,0,0,0,0,0,0
634313,0,2,0,2,0,0,0,1
634265,0,0,0,1,0,0,0,0
634239,0,0,0,0,0,1,0,2
634270,0,0,0,0,0,1,0,1
634225,0,0,0,0,0,0,0,0
634220,0,0,0,1,0,0,0,0
634250,0,1,0,2,1,2,0,1
634239,0,0,0,0,0,1,0,2
634249,0,0,0,0,2,3,0,2
634266,0,0,0,0,0,0,0,0
634217,0,1,0,0,0,0,0,0
634294,0,0,0,1,5,3,0,0
634228,0,0,0,0,0,0,0,0
634230,0,0,0,1,0,0,0,0
634279,0,0,0,0,0,0,0,0
634226,0,0,1,0,0,1,0,1
634227,0,0,1,0,0,0,0,1
634281,0,0,0,2,0,0,0,0
634248,2,4,0,2,1,1,0,0
634224,0,1,0,0,0,0,0,3
634283,0,0,0,0,0,0,0,2
634255,0,0,0,0,1,3,0,2
634261,0,0,0,0,1,1,0,0
634223,0,0,0,1,0,0,0,0
634233,0,1,0,1,0,1,0,0
634231,0,2,0,2,1,1,0,0
634232,0,0,0,0,0,1,0,2
634291,0,1,0,2,1,1,0,0
634247,0,1,0,2,0,0,0,0
634216,0,0,1,0,1,1,0,2
634209,0,0,0,0,0,1,0,1
634234,0,0,0,0,1,1,0,0
634203,0,0,0,0,0,0,0,0
634252,0,1,0,1,0,0,0,1
634204,1,1,0,0,0,0,0,0
634195,0,0,0,0,1,2,0,1
634219,6,5,0,2,0,1,0,2
634253,0,1,0,1,2,3,0,0
634201,1,1,0,0,0,1,0,1
634235,0,0,0,1,0,0,0,0
634200,0,3,0,2,0,0,0,0
634213,0,1,0,1,0,0,0,0
634263,0,0,0,0,0,0,0,1
634240,0,0,0,0,0,0,0,2
634221,0,0,0,0,0,0,0,0
634165,1,1,0,1,3,4,0,1
634212,0,1,0,1,1,2,0,3
634178,0,1,0,1,0,1,0,0
634236,0,0,0,1,2,1,0,1
634214,0,2,0,2,1,2,0,1
634187,0,0,0,0,1,1,0,1
634215,0,0,0,2,1,2,1,1
634196,0,1,0,1,1,2,0,1
634171,2,2,0,1,0,1,0,0
634190,0,0,0,1,0,0,0,1
634193,0,0,0,0,0,0,0,0
634197,8,9,0,2,0,0,0,0
634199,2,2,0,1,0,0,0,0
634262,0,0,0,0,0,0,0,0
634177,0,0,0,0,1,1,0,2
634218,0,1,0,0,0,0,0,1
634184,0,0,0,0,0,0,0,0
634207,0,0,0,0,0,1,0,0
634192,0,0,0,0,0,1,0,2
634167,0,0,0,0,1,2,0,1
634194,0,0,1,0,0,1,0,0
634237,4,4,0,2,0,0,1,0
634182,0,1,0,1,0,2,0,1
634185,0,1,0,1,0,1,0,1
634205,0,0,0,3,0,1,0,1
634211,0,1,0,1,0,1,0,2
634175,1,1,0,1,4,3,1,0
634173,1,2,0,2,1,2,0,1
634222,0,0,0,0,1,2,0,1
634152,0,0,0,0,0,0,0,1
634176,0,1,0,1,0,0,0,0
634181,0,0,0,0,1,1,0,2
634157,0,0,0,0,1,2,0,1
634153,0,0,0,0,0,0,0,1
634155,0,0,0,0,0,1,0,2
634164,1,1,0,2,2,2,0,2
634189,0,0,0,0,0,0,0,0
634174,0,1,0,2,1,2,0,1
634144,1,2,0,1,0,2,0,2
634179,0,0,0,1,0,0,0,0
634170,0,2,0,2,0,1,0,1
634202,0,0,0,0,1,1,0,0
634169,1,2,0,1,0,0,0,0
634163,0,0,0,0,1,2,0,2
634159,0,0,0,1,0,1,0,1
634156,0,0,0,0,0,1,0,1
634147,0,0,0,0,0,1,0,0
634149,0,1,0,1,1,0,0,0
634180,0,1,0,1,0,1,0,1
634142,1,1,0,0,0,0,0,0
634128,0,1,0,1,0,0,0,0
634137,0,0,0,0,0,1,0,1
634129,0,1,0,2,0,2,0,2
634208,0,0,1,0,1,1,0,1
634155,0,0,0,0,0,1,0,2
634151,0,0,0,0,0,1,0,1
634186,2,1,0,1,0,1,0,0
634154,0,0,0,0,1,2,0,3
634210,0,0,0,0,0,1,0,1
634238,0,1,0,0,0,1,0,1
634198,0,0,0,0,0,2,0,2
634172,0,1,0,1,3,4,0,1
634160,1,1,0,0,2,4,0,1
634183,2,3,0,1,1,2,0,1
634140,0,0,0,0,0,0,0,0
634114,0,1,0,0,2,4,0,2
634103,1,2,0,1,4,3,0,0
634117,0,0,0,0,0,0,0,0
634158,1,3,0,1,0,0,0,0
634125,0,0,0,0,1,1,0,0
634113,0,0,0,1,0,1,0,2
634150,0,0,0,0,3,3,0,0
634126,0,1,0,1,2,3,0,1
634141,1,1,0,0,0,1,0,2
634191,0,1,0,1,3,3,0,0
634136,0,1,0,1,0,1,0,1
634135,0,0,0,0,0,0,0,2
634656,0,0,0,1,1,1,0,2
634166,0,0,0,1,0,1,0,1
634108,0,0,0,0,0,0,0,0
634146,1,1,0,0,1,2,0,0
634138,0,1,0,1,0,1,0,1
634206,0,0,0,0,0,0,0,0
634093,0,0,0,0,0,1,0,0
634119,0,1,1,1,0,0,0,1
634123,0,0,0,0,0,0,0,1
634131,0,1,0,1,0,1,0,1
634118,0,0,0,1,0,1,0,0
634121,0,0,1,0,1,2,0,2
634162,6,5,0,1,0,0,0,0
634110,0,0,0,0,1,1,0,0
634132,0,1,0,2,1,2,0,1
634145,0,0,0,1,0,0,0,1
634105,0,1,1,1,1,2,0,1
634080,2,2,0,0,1,2,0,1
634095,0,1,0,2,1,2,0,2
634111,2,2,0,1,3,3,0,1
634085,3,3,0,0,0,2,0,2
634104,3,2,0,2,0,0,0,0
634161,1,3,0,2,4,5,0,1
634127,1,2,0,2,0,0,0,1
634106,2,2,0,2,0,0,0,1
634139,0,0,0,1,1,1,0,1
634148,0,0,0,0,2,2,0,0
634097,1,1,0,1,3,5,0,3
634143,0,1,0,1,2,1,0,0
634084,0,1,0,1,1,2,0,1
634096,0,0,0,0,0,0,0,2
634094,1,1,0,1,0,0,0,1
634086,4,4,0,0,2,3,0,2
634069,0,2,1,3,2,3,0,1
634100,0,0,0,0,0,0,0,0
634083,0,0,0,0,0,2,0,1
634071,0,1,0,0,0,1,0,1
634068,0,0,0,0,1,3,0,1
634188,0,1,0,0,0,0,0,0
634124,1,1,0,1,0,2,0,2
634134,0,0,0,0,0,2,0,2
634098,0,1,0,0,0,1,0,2
634130,0,0,0,0,0,1,0,1
634087,0,0,0,0,1,2,0,1
634122,0,1,0,1,0,2,0,2
634090,2,4,0,2,0,0,0,0
634070,1,2,0,2,0,0,1,1
634063,0,1,0,1,0,0,0,0
634076,0,1,0,1,1,2,0,0
634077,3,3,0,1,0,0,0,0
634099,1,3,0,1,0,1,0,1
634101,1,1,0,0,1,0,0,1
634091,0,1,0,1,0,0,0,1
634057,0,0,1,1,3,3,1,1
634082,0,1,0,3,0,1,0,1
634058,0,0,0,0,1,2,0,0
634075,0,0,0,1,0,0,0,0
634051,0,0,0,0,0,0,0,0
634107,0,0,0,0,0,0,0,0
634133,0,1,0,1,0,1,0,1
634052,0,1,0,2,0,1,0,0
634073,1,2,0,2,0,1,0,2
634109,0,0,0,0,2,1,0,0
634067,0,1,0,0,0,1,0,1
634043,0,0,0,0,0,0,0,0
634102,5,4,0,1,1,1,1,0
634050,2,3,0,1,1,1,0,0
634092,0,0,0,0,1,1,0,0
634065,0,0,0,0,0,1,0,1
634115,1,1,0,0,0,0,0,0
634030,0,0,0,1,0,1,0,2
634031,0,0,0,0,0,0,0,0
634061,0,1,0,1,0,0,0,0
634055,0,0,0,0,1,2,0,1
634044,0,2,0,2,0,0,0,0
634066,0,0,0,0,0,0,0,0
634116,5,6,0,1,1,2,0,2
634053,0,0,0,0,0,0,0,0
634026,0,0,0,0,1,2,0,1
634168,0,1,0,1,0,0,0,0
634029,1,2,0,1,0,0,0,0
634037,1,3,0,2,0,0,0,0
634034,2,3,0,2,0,0,0,0
634033,0,0,0,1,0,0,0,0
634046,0,0,0,0,2,1,0,0
634020,1,2,0,1,0,1,0,1
634120,0,1,0,2,0,0,0,0
634047,0,0,0,0,0,1,0,1
634112,2,3,0,1,0,0,0,1
634045,0,0,0,0,1,1,0,0
634465,0,2,0,1,1,1,0,1
634441,4,2,0,0,1,1,0,0
634039,0,1,0,0,0,0,0,1
634041,2,2,0,0,0,0,0,0
634018,0,0,0,0,2,3,0,2
634059,0,2,0,1,0,0,0,0
634012,0,0,0,0,0,1,0,1
634054,2,3,0,1,0,0,0,0
634014,0,1,0,1,0,0,0,0
634015,0,0,0,0,0,1,0,1
634089,2,1,0,0,0,1,1,0
634027,0,0,0,0,3,2,0,0
634036,0,2,0,2,1,2,0,1
634078,0,1,0,2,2,3,0,1
634008,0,0,0,0,0,0,0,0
634088,0,0,0,0,0,1,0,0
634022,1,1,0,0,0,0,0,0
634016,0,1,0,2,3,3,0,0
634028,0,1,0,1,0,1,0,2
634013,0,0,0,1,0,0,0,0
634019,1,2,0,1,4,5,0,2
634035,0,0,0,0,0,0,0,1
634010,0,1,0,1,0,0,0,0
634062,5,3,0,0,0,0,0,0
634079,2,3,0,2,0,0,0,3
634001,0,0,0,0,2,3,0,2
634038,0,2,0,1,2,1,0,0
634049,0,2,0,1,2,3,0,1
633999,0,2,0,3,0,0,0,0
634017,0,0,0,0,0,1,0,0
634011,1,1,0,0,0,1,0,0
634032,1,2,0,2,0,0,0,0
633984,0,0,0,0,0,1,0,2
634081,0,0,0,0,1,1,0,1
633991,0,2,0,2,0,0,0,1
634000,1,2,0,1,0,0,0,1
633977,3,5,0,2,4,5,0,1
634004,0,1,0,1,4,2,0,0
634009,0,1,1,2,2,2,0,1
633975,1,2,0,0,0,0,0,0
634007,0,0,0,0,2,3,0,1
633998,0,1,0,1,0,0,0,1
633989,3,3,0,2,0,0,0,0
634060,1,2,0,2,3,3,0,0
634002,2,4,0,3,0,0,0,0
634025,0,0,0,0,0,0,0,0
633995,0,0,0,0,0,0,0,3
633980,0,1,0,0,0,0,0,0
633985,0,0,0,0,0,0,0,1
633996,0,0,0,0,0,0,0,0
633973,0,1,0,1,0,1,0,2
633963,5,2,0,0,0,0,1,0
633976,0,0,0,1,0,0,0,1
633981,0,0,0,0,0,0,0,2
634056,0,0,0,1,0,0,1,0
